
約定履歴照会

商品指定,約定開始年月日,約定終了年月日,明細数,明細指定開始,明細指定終了
"すべての商品","2025年01月01日","2025年07月08日","8549","1","8549"

（注）明細数はご指定された期間の合計です。

約定日,銘柄,銘柄コード,市場,取引,期限,預り,課税,約定数量,約定単価,手数料/諸経費等,税額,受渡日,受渡金額/決済損益
"2025/01/07","富士通ゼネラル","6755","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,2759,28,--,"2025/01/09",48682
"2025/01/07","富士通ゼネラル","6755","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,2759,28,--,"2025/01/09",48682
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2759,264,--,"2025/01/09",40666
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"無期限"," 特定 ","申告",100,2759,15,--,"2025/01/09",-515
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"無期限"," 特定 ","申告",200,2759,31,--,"2025/01/09",-831
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2759,264,--,"2025/01/09",40656
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"6ヶ月"," 特定 ","申告",200,2759,464,--,"2025/01/09",86936
"2025/01/07","富士通ゼネラル","6755","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,2759,264,--,"2025/01/09",40646
"2025/01/07","富士通ゼネラル","6755","PTS（O）",信用返済売,"無期限"," 特定 ","申告",100,2759,15,--,"2025/01/09",885
"2025/01/07","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9837,61,--,"2025/01/09",2369
"2025/01/07","アドバンテスト","6857","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,9838,61,--,"2025/01/09",2459
"2025/01/07","トヨタ自動車","7203","PTS（O）",信用返済売,"6ヶ月"," 特定 ","申告",100,3058.3,19,--,"2025/01/09",-2469
"2025/01/07","トヨタ自動車","7203","PTS（X）",信用返済売,"6ヶ月"," 特定 ","申告",100,3058.2,19,--,"2025/01/09",-2479
"2025/01/07","東京エレクトロン","8035","東証",信用返済売,"6ヶ月"," 特定 ","申告",100,26880,167,--,"2025/01/09",9863
"2025/01/07","野村マイクロ・サイエンス","6254","東証",信用新規買,"無期限"," 特定 ","--",400,2609,--,--,"2025/01/09",--
"2025/01/07","野村マイクロ・サイエンス","6254","東証",信用新規買,"無期限"," 特定 ","--",100,2608,--,--,"2025/01/09",--
"2025/01/07","富士通ゼネラル","6755","東証",信用新規買,"無期限"," 特定 ","--",100,2764,--,--,"2025/01/09",--
"2025/01/07","富士通ゼネラル","6755","東証",信用新規買,"無期限"," 特定 ","--",300,2750,--,--,"2025/01/09",--
"2025/01/07","富士通ゼネラル","6755","東証",信用新規買,"無期限"," 特定 ","--",200,2763,--,--,"2025/01/09",--
"2025/01/07","アドバンテスト","6857","PTS（X）",信用新規買,"6ヶ月"," 特定 ","--",100,9812.8,--,--,"2025/01/09",--
"2025/01/07","アドバンテスト","6857","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,9812.7,--,--,"2025/01/09",--
"2025/01/07","トヨタ自動車","7203","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",200,3082.8,--,--,"2025/01/09",--
"2025/01/07","東京エレクトロン","8035","PTS（O）",信用新規買,"6ヶ月"," 特定 ","--",100,26779.7,--,--,"2025/01/09",--
"2025/01/07","トヨタ自動車","7203","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",200,3060.9,18,--,"2025/01/09",-1518
"2025/01/07","トヨタ自動車","7203","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",200,3077.5,18,--,"2025/01/09",3722
"2025/01/07","トヨタ自動車","7203","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",100,3060.9,9,--,"2025/01/09",-749
"2025/01/07","トヨタ自動車","7203","PTS（O）",信用返済買,"6ヶ月"," 特定 ","申告",100,3077.5,9,--,"2025/01/09",1951
"2025/01/07","トヨタ自動車","7203","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",200,3077.5,18,--,"2025/01/09",3902
"2025/01/07","トヨタ自動車","7203","PTS（X）",信用返済買,"6ヶ月"," 特定 ","申告",200,3060.9,18,--,"2025/01/09",7062
"2025/01/07","ｅＭＡＸＩＳ　Ｓｌｉｍ　米国株式（Ｓ＆Ｐ５００）",,,投信金額買付,"--"," NISA(つ) ","--",8766,34226,--,--,"2025/01/10",30000
"2025/01/07","ｅＭＡＸＩＳ　Ｓｌｉｍ　全世界株式（オール・カントリー）",,,投信金額買付,"--"," NISA(つ) ","--",10804,27769,--,--,"2025/01/14",30000
"2025/01/07","ｉＦｒｅｅＮＥＸＴ　ＮＡＳＤＡＱ１００インデックス",,,投信金額買付,"--"," NISA(つ) ","--",4923,40630,--,--,"2025/01/10",20000
