銘柄,銘柄,銘柄,取引区分,期限,預り区分,約定日,受渡日,株数,平均約定単価,手数料・諸経費等,課税額・譲渡益税,受渡金額・決済損益,受渡金額(日計り分)
281A,インフォメティス,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,936,7,--,"-2,107",--
281A,インフォメティス,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,936,7,--,"-5,587",--
281A,インフォメティス,PTS(X),信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,936,7,--,"-2,007",--
281A,インフォメティス,PTS(O),信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,936,7,--,"-1,997",--
281A,インフォメティス,PTS(X),信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,936.1,7,--,"-1,977",--
6146,ディスコ,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,"42,000","1,880",--,"112,120",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,"10,685",81,--,"12,019",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,"10,685",82,--,"-4,442",--
6920,レーザーテック,東証,信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,"18,635",143,--,"-3,643",--
6920,レーザーテック,PTS(X),信用返済売,６ヵ月,特定,2025/07/07,2025/07/09,100,"18,615.1",141,--,"12,199",--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,993,--,--,--,--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,956,--,--,--,--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,992,--,--,--,--
281A,インフォメティス,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,955.8,--,--,--,--
281A,インフォメティス,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,991.8,--,--,--,--
281A,インフォメティス,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,955.9,--,--,--,--
281A,インフォメティス,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,991.9,--,--,--,--
281A,インフォメティス,東証,信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,957,--,--,--,--
3353,メディカル一光グループ,東証,信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"2,801",--,--,--,--
3353,メディカル一光グループ,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"2,828",--,--,--,--
6146,ディスコ,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"41,988.6",--,--,--,--
6857,アドバンテスト,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"10,564",--,--,--,--
6857,アドバンテスト,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"10,728.6",--,--,--,--
6920,レーザーテック,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"18,491.7",--,--,--,--
6920,レーザーテック,PTS(X),信用新規買,６ヵ月,特定,2025/07/07,2025/07/09,100,"18,670",--,--,--,--
7481,尾家産業,東証,現物買,--,NISA,2025/07/04,2025/07/08,100,"2,104",--,--,"210,400",--
3498,霞ヶ関キャピタル,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"16,250",125,--,"-6,125",--
3498,霞ヶ関キャピタル,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"16,250",125,--,"-13,825",--
372A,レント,PTS(X),信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,080",96,--,"-38,096",--
6146,ディスコ,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"40,810",315,--,"-37,205",--
6526,ソシオネクスト,PTS(O),信用返済売,無期限,特定,2025/07/04,2025/07/08,100,"2,690.7",41,--,"-1,871",--
6526,ソシオネクスト,PTS(X),信用返済売,無期限,特定,2025/07/04,2025/07/08,300,"2,690.5",124,--,"-5,674",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"10,725",82,--,"2,218",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"10,725",82,--,"-3,572",--
6857,アドバンテスト,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"10,725",82,--,"-3,582",--
6920,レーザーテック,PTS(O),信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"18,730.1",144,--,"-13,874",--
6920,レーザーテック,PTS(X),信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"18,730.1",143,--,"1,417",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,920",106,--,"-6,006",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,920",106,--,"-6,086",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"6,920",53,--,"-3,033",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,200,"6,920",105,--,"6,695",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"6,920",52,--,"3,378",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"6,920",52,--,"3,358",--
7453,良品計画,東証,信用返済売,６ヵ月,特定,2025/07/04,2025/07/08,100,"6,920",52,--,"1,078",--
